,KS113days,KS117days,KS1115days,KS1130days,KQ113days,KQ117days,KQ1115days,KQ1130days,IXIC3days,IXIC7days,IXIC15days,IXIC30days,TWII3days,TWII7days,TWII15days,TWII30days
2021-06-22,1.3981158914955905,1.7245795006773,0.1752659073867741,-0.5477059605836849,0.1612281031464204,1.8763785991948514,2.3392911898238453,2.6518561014451127,1.6139046266727357,2.5631687772425598,4.184569083292557,3.8156543728096364,2.0218039287392915,4.058376672773452,4.403392607856319,2.5804402279086025
2021-06-23,1.1936713359559799,0.5570057722710343,0.2297878598477885,-0.8192703163106558,0.05634861006762328,2.3804816323302775,3.1387164379769863,2.4269445213333816,0.7515468380238288,1.888057968452143,2.9774220231567856,3.5642347335032625,2.5032283001133337,3.738620425110754,4.5209085505298585,2.8005540085092377
2021-06-24,0.7844477884371729,0.1706250248001534,-0.347354701650396,0.1278924604494872,0.1426519489207575,2.1368278141786226,2.8058162642897884,3.0960391948527266,1.603029205289062,2.575721373652671,2.6150999213129813,3.5650898664702955,1.4665989106353055,2.1540419145270486,2.9361972369613434,1.6564849962882249
2021-06-25,0.017650101944552122,0.21636590487204063,0.0036517452299044723,-0.3033991661848331,0.9776619067369772,3.4277418972566136,4.117042918370163,4.633524915565559,1.1038496949486163,1.9608955225958038,1.2068441186356587,3.656371631717006,1.092775948474144,2.937564194770683,3.597377291767672,1.1210963260485425
2021-06-28,-0.1865061583364713,0.07175642780152508,-0.7850819294909923,-0.9833961075922545,1.761631410984759,3.243654471263577,3.9372412634740614,4.7098692855660795,0.9996942979960942,2.1117114507335804,0.46551660505042247,3.310286141253829,1.4424392632344387,2.3429139821253284,2.2411028058634463,0.13306297952519675
2021-06-29,-0.600565130879585,-0.5012280845212811,-1.7520268694596097,-1.255947351365424,1.741804285251165,2.893183090842995,3.1358371565266046,4.134943167863566,0.1508222814231981,1.13478767298529,-1.5553246058242134,2.4803955171231915,0.6990518430762915,1.4764393322255538,1.1271692237551358,-0.6015586405979869
2021-06-30,-0.14908661628146447,-1.0344785619530956,-1.6423868463008269,-1.3232197840982323,1.5315103861049253,1.1696592731682545,2.065485271681739,2.889919023588776,0.764024495588963,0.21654243811918472,-0.2027073999558155,1.7879549817494524,0.6362017912069523,1.5223156472341843,-0.39464285815755534,-1.5601036242931763
2021-07-01,-0.1052574104856947,-2.388160209665482,-2.4500406469539047,-2.3071696373321022,1.6864732610975077,-0.10000388364596417,1.1718901704920517,2.132121635791685,1.0172056577690893,1.364938516748881,0.8825182105564346,1.8007508299463144,0.922927369947062,-0.5293019724636792,-1.6708663137986752,-2.9753101299543854
2021-07-02,0.7053496889148916,-1.0843799321158099,-0.9704271098029867,-2.2449315369006,0.8999266154262036,-0.09655864972384226,1.4107218724653257,1.7815070874048722,0.9727055758078238,1.4519658623448815,1.1170345356615181,2.0236352443607797,1.1241429066599584,0.5667288022879329,-0.7994268920409404,-2.7887641032994357
2021-07-05,0.10847771636124132,-0.3169011938643081,-0.8336939100122533,-3.366770472121843,0.8842397272149181,0.49413396520833397,1.6683041476429843,0.25043826696718385,0.17575940975440518,0.26176061336140183,1.3501984038887016,1.2539508297169317,0.7935562375247935,0.7756568973159401,-0.7748663901774022,-4.110862979703734
2021-07-06,-1.230714105690199,-0.8623804737626842,-2.0727496879943947,-4.13031662116901,-1.226929430074562,-0.2243800903249128,0.02864426685000734,-2.0447232486417812,-0.6258409983697878,-0.04460298734223769,1.291507311374912,0.971061977676663,-0.29710932272580276,-0.4106180309196925,-2.8782884181495647,-5.918524855561012
